Temporada;Ep. Nome;Ep. N.;Nota;Série
1;Winter Is Coming;1;9.1;Game Of Thrones
1;The Kingsroad;2;8.8;Game Of Thrones
1;Lord Snow;3;8.7;Game Of Thrones
1;Cripples, Bastards, and Broken Things;4;8.8;Game Of Thrones
1;The Wolf and the Lion;5;9.1;Game Of Thrones
1;A Golden Crown;6;9.2;Game Of Thrones
1;You Win or You Die;7;9.3;Game Of Thrones
1;The Pointy End;8;9.1;Game Of Thrones
1;Baelor;9;9.6;Game Of Thrones
1;Fire and Blood;10;9.5;Game Of Thrones
2;The North Remembers;1;8.9;Game Of Thrones
2;The Night Lands;2;8.6;Game Of Thrones
2;What Is Dead May Never Die;3;8.9;Game Of Thrones
2;Garden of Bones;4;8.9;Game Of Thrones
2;The Ghost of Harrenhal;5;8.9;Game Of Thrones
2;The Old Gods and the New;6;9.1;Game Of Thrones
2;A Man Without Honor;7;9.0;Game Of Thrones
2;The Prince of Winterfell;8;8.9;Game Of Thrones
2;Blackwater;9;9.7;Game Of Thrones
2;Valar Morghulis;10;9.5;Game Of Thrones
3;Valar Dohaeris;1;8.9;Game Of Thrones
3;Dark Wings, Dark Words;2;8.7;Game Of Thrones
3;Walk of Punishment;3;8.9;Game Of Thrones
3;And Now His Watch Is Ended;4;9.6;Game Of Thrones
3;Kissed by Fire;5;9.1;Game Of Thrones
3;The Climb;6;8.9;Game Of Thrones
3;The Bear and the Maiden Fair;7;8.8;Game Of Thrones
3;Second Sons;8;9.1;Game Of Thrones
3;The Rains of Castamere;9;9.9;Game Of Thrones
3;Mhysa;10;9.2;Game Of Thrones
4;Two Swords;1;9.2;Game Of Thrones
4;The Lion and the Rose;2;9.7;Game Of Thrones
4;Breaker of Chains;3;8.9;Game Of Thrones
4;Oathkeeper;4;8.9;Game Of Thrones
4;First of His Name;5;8.8;Game Of Thrones
4;The Laws of Gods and Men;6;9.7;Game Of Thrones
4;Mockingbird;7;9.2;Game Of Thrones
4;The Mountain and the Viper;8;9.7;Game Of Thrones
4;The Watchers on the Wall;9;9.6;Game Of Thrones
4;The Children;10;9.7;Game Of Thrones
5;The Wars to Come;1;8.6;Game Of Thrones
5;The House of Black and White;2;8.6;Game Of Thrones
5;High Sparrow;3;8.6;Game Of Thrones
